transaction_id,customer_id,timestamp,amount,merchant_category,payment_method,device_id,ip_country,is_fraud,fraud_type
f9a8a349-e8be-4587-9629-2ef5134e209b,CUST_00001,2026-08-17 20:08:39.933811,1209.25,grocery,wallet,DEV_14975,India,0,normal
cd43914b-1657-4833-a275-d50687f84939,CUST_00001,2026-08-05 20:17:39.933860,1504.27,grocery,wallet,DEV_14975,India,0,normal
90948b33-0eff-4c30-806f-4af579170eaa,CUST_00001,2026-07-25 00:42:39.933874,1369.37,grocery,wallet,DEV_14975,India,0,normal
b12149ac-8144-40cd-ae9d-35b07ec039b0,CUST_00001,2026-08-10 07:24:39.933884,832.76,grocery,wallet,DEV_14975,India,0,normal
e6107fd5-2d61-416b-b326-98535cd5c881,CUST_00001,2026-08-17 21:46:39.933893,1172.5,grocery,wallet,DEV_14975,India,0,normal
6ada54f5-b82c-47d9-baa6-6cc25a5369be,CUST_00001,2026-08-06 19:25:39.933904,1738.66,grocery,wallet,DEV_14975,India,0,normal
d9693efa-91d1-493a-8e0d-ede5a4cd9268,CUST_00001,2026-08-13 17:27:39.933911,960.08,grocery,wallet,DEV_14975,India,0,normal
b3158d2e-9eaa-4ebd-abca-83d5dd424bb0,CUST_00001,2026-08-11 04:34:39.933918,1295.18,grocery,wallet,DEV_14975,India,0,normal
735ba09e-cafb-4af4-b639-7388d5b3dea0,CUST_00001,2026-08-15 21:10:39.933925,1479.4,grocery,wallet,DEV_14975,India,0,normal
9d29fc8a-8480-479b-94c7-0dcc73a8ceef,CUST_00001,2026-07-25 11:17:39.933931,1098.81,grocery,wallet,DEV_14975,India,0,normal
172fe8c7-a12c-4fae-ba52-fcaab03ef628,CUST_00002,2026-08-18 22:49:39.933938,1021.63,electronics,wallet,DEV_00553,India,0,normal
145c4c03-c5de-484c-ac75-90f0ba639f86,CUST_00002,2026-08-09 10:57:39.933946,1072.94,electronics,wallet,DEV_00553,India,0,normal
4f7d8132-531f-4a8e-a909-727d06db39fc,CUST_00002,2026-07-29 00:10:39.933955,1020.02,electronics,wallet,DEV_00553,India,0,normal
3279040c-e21c-4e46-aa54-ad8a3a8965ec,CUST_00002,2026-08-04 06:00:39.933961,730.65,electronics,wallet,DEV_00553,India,0,normal
f16d958c-9a08-43d9-a76b-d4f61d777b12,CUST_00002,2026-07-27 16:46:39.933967,827.02,electronics,wallet,DEV_00553,India,0,normal
8259c1a2-caec-473b-ba81-70165d006dcf,CUST_00002,2026-08-12 03:44:39.933974,1939.48,electronics,wallet,DEV_00553,India,0,normal
edb3aad1-9a67-4c35-b27b-162505c0c583,CUST_00002,2026-08-19 21:34:39.933980,1269.38,electronics,wallet,DEV_00553,India,0,normal
3fe25a6a-c8d2-4938-9df1-a4d748aaabb3,CUST_00002,2026-07-27 14:03:39.933986,1407.1,electronics,wallet,DEV_00553,India,0,normal
f32a0c99-aeef-4fb6-9243-bb48b90c80fc,CUST_00002,2026-08-13 20:13:39.933992,1032.69,electronics,wallet,DEV_00553,India,0,normal
4152b84d-8e71-4c4f-ab45-744638ea2f04,CUST_00002,2026-08-07 17:00:39.933998,1303.83,electronics,wallet,DEV_00553,India,0,normal
